Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Tube2_Cort_22YMFCLT3_R2_merged - polyg	(1, 0.028468949644370693)	(2, 0.031512103954831915)	(3, 0.03385095569887698)	(4, 0.03457794720703003)	(5, 0.037349779589220866)	(6, 0.03838496255596677)	(7, 0.03918191163447525)	(8, 0.03997696996783899)	(9, 0.04077391904634747)	(10, 0.041908838819478475)	(12, 0.04420231268004975)	(14, 0.045607609008878766)	(16, 0.04665413644649311)	(18, 0.04753238756622548)	(20, 0.04838085944992816)	(22, 0.04909650648721277)	(24, 0.0497336876009906)	(26, 0.050296184281551165)	(28, 0.05099386923996073)	(30, 0.05164239482460701)	(32, 0.052273903702950625)	(34, 0.05404033235442525)	(36, 0.05461748230985755)	(38, 0.05523339254075704)	(40, 0.05585686575223551)	(42, 0.05649357417972717)	(44, 0.05710144874376151)	(46, 0.057658273188887846)	(48, 0.058288836694659084)	(50, 0.05890947378842044)	(52, 0.059525384019319935)	(54, 0.06018194527083137)	(56, 0.06082385324747107)	(58, 0.06147805106755158)	(60, 0.062173372594530214)	(62, 0.06288051127866348)	(64, 0.06359710368852046)	(66, 0.06441437827733491)	(68, 0.06520234631640587)	(70, 0.06594729990343398)	(72, 0.06671919660877464)	(74, 0.06778604955669496)	(76, 0.07027096136317129)	(78, 0.19487059371534088)	(80, 0.5496060528499949)	(82, 0.5590663961817082)	(84, 0.5629514047678656)	(86, 0.5658182470935798)	(88, 0.5681585168964833)	(90, 0.5704543541884854)	(92, 0.5723365909800755)	(94, 0.5739158358622207)	(96, 0.5752601556601318)	(98, 0.5768223838359744)	(100, 0.5789390730255124)	(102, 0.5822814377551289)	(104, 0.5859816260033878)	(106, 0.5901998784213056)	(108, 0.5945783714902405)	(110, 0.5998757666995196)	(112, 0.6171113267526958)	(114, 0.6388894020161129)	(116, 0.6536216154976513)	(118, 0.6658363018189668)	(120, 0.677805663957752)	(122, 0.6949022542427896)	(124, 0.7139770366355127)	(126, 0.7336686746317079)	(128, 0.7566582448466181)	(130, 0.7838131266153936)	(132, 0.808514766558867)	(134, 0.8297587063188949)	(136, 0.8500596369379829)	(138, 0.8702674483586923)
Tube3_Cort_22YMFCLT3_R1_merged - nextera_transposase_sequence	(1, 0.0032648099650728893)	(2, 0.6049082699627928)	(3, 0.6050777604217193)	(4, 0.6051084805673999)	(5, 0.6051741581202339)	(6, 0.6051900478507583)	(7, 0.6052154714195972)	(8, 0.6052239459425436)	(9, 0.6052620812958021)	(10, 0.6053071021989543)	(12, 0.605414622708836)	(14, 0.6057366545807964)	(16, 0.6060978811213836)	(18, 0.6063605913327198)	(20, 0.6065989372905852)	(22, 0.6078335693523285)	(24, 0.6099161833663886)	(26, 0.6129188127778095)	(28, 0.6167492971495496)	(30, 0.6209298852505102)	(32, 0.6255988177362528)	(34, 0.6415918315090263)	(36, 0.6754110042994009)	(38, 0.6945385322469475)	(40, 0.7078228766230009)	(42, 0.7195351969925105)	(44, 0.7346251444138159)	(46, 0.7548156953334425)	(48, 0.7734458747155765)	(50, 0.7949234938076767)	(52, 0.8219847642060387)	(54, 0.8474104516757596)	(56, 0.8650999590108512)	(58, 0.8817921209266967)	(60, 0.8984890497616995)	(62, 0.9166600159316793)	(64, 0.9361990878998071)	(66, 0.9592858070363413)	(68, 0.9849487811485593)	(70, 1.0149798421819254)	(72, 1.0495447729915768)	(74, 1.0921334880583484)	(76, 1.145347136269079)	(78, 1.208518348941745)	(80, 1.2838992305493333)	(82, 1.3762439884647337)	(84, 1.4881193438253153)	(86, 1.6249251567209417)	(88, 1.7911709326744278)	(90, 1.9817555385297683)	(92, 2.205882306206675)	(94, 2.4707328642444772)	(96, 2.7834994343361865)	(98, 3.1449325414202374)	(100, 3.5471296928491785)	(102, 3.9943731709993266)	(104, 4.496794268053017)	(106, 5.0629215320403596)	(108, 5.687292603264764)	(110, 6.358565392077935)	(112, 7.06459749607084)	(114, 7.8077882645526575)	(116, 8.605037485251417)	(118, 9.460059647506032)	(120, 10.353208158838491)	(122, 11.274272278413841)	(124, 12.227528992031555)	(126, 13.22214402591577)	(128, 14.26852197561384)	(130, 15.355538970443343)	(132, 16.443845152076058)	(134, 17.533444757773452)	(136, 18.644519863932214)	(138, 19.78761807367441)
Tube3_Cort_22YMFCLT3_R1_merged - polya	(1, 1.0593153682910088e-06)	(2, 0.0007150378735964309)	(3, 0.002465026862013178)	(4, 0.004846367809931366)	(5, 0.009685320412284693)	(6, 0.01417575825847028)	(7, 0.018538018945092653)	(8, 0.02459094695950748)	(9, 0.03384512601689773)	(10, 0.05700758620226479)	(12, 0.07542802114147715)	(14, 0.08894753352929113)	(16, 0.10119057089831449)	(18, 0.11390765189464803)	(20, 0.12517717844021192)	(22, 0.1358969203096328)	(24, 0.14689738075165076)	(26, 0.15830038103361932)	(28, 0.16873993398812726)	(30, 0.18279387097924404)	(32, 0.1976475910734206)	(34, 0.20796585241825916)	(36, 0.21801292902881522)	(38, 0.22878245872054576)	(40, 0.24250165205528262)	(42, 0.25570072154418855)	(44, 0.26757882476883565)	(46, 0.27704168895377923)	(48, 0.28693993175509047)	(50, 0.29675713693072736)	(52, 0.30660665122509717)	(54, 0.3161039431595102)	(56, 0.32564943394318047)	(58, 0.3362309351570394)	(60, 0.348245690064196)	(62, 0.3598594941044545)	(64, 0.3721946919105191)	(66, 0.38554365452403827)	(68, 0.4004376286022099)	(70, 0.41340788597156497)	(72, 0.42461756119882044)	(74, 0.4364050929594786)	(76, 0.4484028988207426)	(78, 0.4587741259339957)	(80, 0.4698249038560075)	(82, 0.4809244102849607)	(84, 0.4931462613466182)	(86, 0.5048463995893924)	(88, 0.5173325498354385)	(90, 0.5282842817705151)	(92, 0.5384611245136868)	(94, 0.5487290683785316)	(96, 0.5581850470135813)	(98, 0.567230011285734)	(100, 0.5760053797966568)	(102, 0.5842828700844827)	(104, 0.592426886635904)	(106, 0.6012636954381876)	(108, 0.6094659743348649)	(110, 0.617321857106111)	(112, 0.625213756599879)	(114, 0.6333641290435101)	(116, 0.6410616441671967)	(118, 0.6482724038791536)	(120, 0.6566478808385464)	(122, 0.6650975098737196)	(124, 0.6729645154563328)	(126, 0.6818738873613444)	(128, 0.6909787029518055)	(130, 0.699443692059819)	(132, 0.7087217057129959)	(134, 0.7171978176323763)	(136, 0.7287401178852752)	(138, 0.7363979086826509)
Tube3_Cort_22YMFCLT3_R1_merged - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00784211167145834)	(4, 0.00934528017906328)	(5, 0.011900348847381193)	(6, 0.013208603327220588)	(7, 0.014511561230218531)	(8, 0.015496724522729169)	(9, 0.01665243758953466)	(10, 0.0184267908314221)	(12, 0.021058130206256964)	(14, 0.02377898172971242)	(16, 0.026417736312125323)	(18, 0.02886634378592999)	(20, 0.031051711390714345)	(22, 0.03253740119474248)	(24, 0.03414173432001921)	(26, 0.035559627940476735)	(28, 0.03730485000973617)	(30, 0.03893513636153603)	(32, 0.04019254370369746)	(34, 0.04123755831451654)	(36, 0.042264564564074666)	(38, 0.043337121374469316)	(40, 0.04456857549010762)	(42, 0.04577301706385449)	(44, 0.04716760574620961)	(46, 0.04831378497470047)	(48, 0.04951028168318517)	(50, 0.0630907047046759)	(52, 0.0644095523381982)	(54, 0.06530944074356143)	(56, 0.06615583372282594)	(58, 0.06714417496144146)	(60, 0.06825115952130556)	(62, 0.06978081091311777)	(64, 0.07132900032387507)	(66, 0.07300165929040658)	(68, 0.07948731763276828)	(70, 0.10658884201512546)	(72, 0.13054949633049978)	(74, 0.2903191477799388)	(76, 0.5969935951886065)	(78, 0.6621107701928232)	(80, 0.6733045556895543)	(82, 0.6794994319633201)	(84, 0.6843897613610355)	(86, 0.6883976810569645)	(88, 0.6923378045693229)	(90, 0.6950300545778345)	(92, 0.697350484892076)	(94, 0.699749304543571)	(96, 0.7027349849090991)	(98, 0.7066571000601967)	(100, 0.7114552690208709)	(102, 0.717149618783119)	(104, 0.7237099588589453)	(106, 0.7327517451849932)	(108, 0.7531806420624854)	(110, 0.7806100245513286)	(112, 0.80078203745201)	(114, 0.8167713436209947)	(116, 0.8319709301829181)	(118, 0.8506524863604142)	(120, 0.8725538315998308)	(122, 0.8958683035405477)	(124, 0.9229809507342719)	(126, 0.9541407122925518)	(128, 0.9839048258531085)	(130, 1.0103003165424997)	(132, 1.0357953891688436)	(134, 1.0620155631647825)	(136, 1.08915416358503)	(138, 1.1178955081575017)
Tube3_Cort_22YMFCLT3_R2_merged - nextera_transposase_sequence	(1, 0.0032044289890803017)	(2, 0.6122302577884202)	(3, 0.612345723163564)	(4, 0.6123827992014542)	(5, 0.6124145786625029)	(6, 0.6124304683930273)	(7, 0.6124580105926029)	(8, 0.6124739003231272)	(9, 0.6125003832073345)	(10, 0.6125273957492259)	(12, 0.612585658094482)	(14, 0.6128616097479217)	(16, 0.6132069465579846)	(18, 0.6134537670387964)	(20, 0.6136868164198204)	(22, 0.6149950708996599)	(24, 0.6170226005145688)	(26, 0.6199712048422068)	(28, 0.6237990409255263)	(30, 0.6278980617431285)	(32, 0.6325945364284467)	(34, 0.6476023869087095)	(36, 0.680827813435157)	(38, 0.6984775964439376)	(40, 0.7110733858306019)	(42, 0.7221967268553416)	(44, 0.7360848809913209)	(46, 0.7551901633161333)	(48, 0.7725279779489522)	(50, 0.7921300791814933)	(52, 0.8170764264470625)	(54, 0.8398485289192142)	(56, 0.8548293668575857)	(58, 0.8698117937690095)	(60, 0.884912334343998)	(62, 0.902396864155325)	(64, 0.9216663403622227)	(66, 0.9446434203581389)	(68, 0.9701951663566863)	(70, 1.0000969909151207)	(72, 1.034595714514254)	(74, 1.0770197060412565)	(76, 1.1301104736692653)	(78, 1.1930613487453268)	(80, 1.2682240113870469)	(82, 1.3603102963525844)	(84, 1.4717878787923728)	(86, 1.6081185887453207)	(88, 1.7737224195856225)	(90, 1.9634479206772788)	(92, 2.186572576015782)	(94, 2.450121765123639)	(96, 2.761284531747756)	(98, 3.1208002780151998)	(100, 3.5211664028300502)	(102, 3.965901422188085)	(104, 4.465383448752451)	(106, 5.02802980243959)	(108, 5.647727703916779)	(110, 6.31479183277173)	(112, 7.016897584352065)	(114, 7.756584667253259)	(116, 8.550009229814805)	(118, 9.401274530115774)	(120, 10.291154523879374)	(122, 11.208168880801747)	(124, 12.156880072174122)	(126, 13.147608477972078)	(128, 14.189699378374675)	(130, 15.273210039335133)	(132, 16.358440498796014)	(134, 17.444951140879475)	(136, 18.55299236782345)	(138, 19.692914220433824)
Tube3_Cort_22YMFCLT3_R2_merged - polya	(1, 5.296576841455044e-06)	(2, 0.01292682543925518)	(3, 0.019753053672522444)	(4, 0.02296489786918078)	(5, 0.02633458005571448)	(6, 0.029143884412422237)	(7, 0.03140234477761867)	(8, 0.03343940823084228)	(9, 0.03829001330224681)	(10, 0.04814906143493122)	(12, 0.055601345050858474)	(14, 0.061927576430292376)	(16, 0.06927445816707467)	(18, 0.07738616559976308)	(20, 0.08486334312684515)	(22, 0.09187971846872064)	(24, 0.09848666842075168)	(26, 0.10636956373388921)	(28, 0.11299717033560192)	(30, 0.12008928672631022)	(32, 0.12749390115066436)	(34, 0.13463845365210309)	(36, 0.1422904182149532)	(38, 0.15027341883039422)	(40, 0.1581240050247989)	(42, 0.16503762677595016)	(44, 0.17199785840330623)	(46, 0.1786636003582774)	(48, 0.18557669245174452)	(50, 0.19263755903908825)	(52, 0.19906071777472079)	(54, 0.20604425434017926)	(56, 0.2121268431849062)	(58, 0.21870783991041412)	(60, 0.22533703548517925)	(62, 0.23135871369622948)	(64, 0.23806947655435304)	(66, 0.2442670011165396)	(68, 0.2507367697283769)	(70, 0.25762496791068923)	(72, 0.2643526798147054)	(74, 0.27107827308798504)	(76, 0.2777800317654781)	(78, 0.284306473749519)	(80, 0.2908911780788159)	(82, 0.29786835875206463)	(84, 0.30478780673774153)	(86, 0.31135926962493476)	(88, 0.31826229822240315)	(90, 0.32534541043248094)	(92, 0.33237661618951253)	(94, 0.3395847276130487)	(96, 0.34702218081381986)	(98, 0.35408622534726847)	(100, 0.3626343707116928)	(102, 0.37063908729218376)	(104, 0.37811043858474025)	(106, 0.38546420587141644)	(108, 0.39251500896276137)	(110, 0.3990181460086999)	(112, 0.4055445879927408)	(114, 0.41234592231485323)	(116, 0.41846982445894354)	(118, 0.4250280459040332)	(120, 0.43130395980347325)	(122, 0.43830391575714023)	(124, 0.4459553506623062)	(126, 0.4528340150063039)	(128, 0.45991712721638167)	(130, 0.46636517986316905)	(132, 0.47340644911619945)	(134, 0.4795478299638666)	(136, 0.485497474729873)	(138, 0.4913279465169467)
Tube3_Cort_22YMFCLT3_R2_merged - polyg	(1, 0.03291292849280165)	(2, 0.03628896657154509)	(3, 0.038929839784694574)	(4, 0.03965123355050075)	(5, 0.04265968919644722)	(6, 0.043863071454825805)	(7, 0.04479632829429018)	(8, 0.045733822395227726)	(9, 0.04667873170374331)	(10, 0.04800022762568634)	(12, 0.05035243740097652)	(14, 0.051849779674055865)	(16, 0.052969476018339456)	(18, 0.05386406784686122)	(20, 0.054678681365077)	(22, 0.05542655801509046)	(24, 0.0560277194865956)	(26, 0.05662252506589101)	(28, 0.057221038248975425)	(30, 0.05777558984427577)	(32, 0.05833278972799684)	(34, 0.05994771600695648)	(36, 0.06050756417909828)	(38, 0.061139445796283866)	(40, 0.061716772672002464)	(42, 0.06232746798182223)	(44, 0.06293392603016884)	(46, 0.06349483351767893)	(48, 0.06406262655508291)	(50, 0.06461876712343569)	(52, 0.0652066871528372)	(54, 0.0658131452011838)	(56, 0.06646515381036691)	(58, 0.06707214151639766)	(60, 0.06772944670242223)	(62, 0.06845560738738572)	(64, 0.06916270039571996)	(66, 0.06986343751184447)	(68, 0.07061767005406766)	(70, 0.07137666951544817)	(72, 0.07205939827031174)	(74, 0.0730180786786151)	(76, 0.0752262215638177)	(78, 0.1895745486516748)	(80, 0.6660101100635023)	(82, 0.6848881692418165)	(84, 0.6902255297249507)	(86, 0.6938510365729267)	(88, 0.696731844716994)	(90, 0.6995104289280214)	(92, 0.701893358848992)	(94, 0.7036110387186758)	(96, 0.7050739532422857)	(98, 0.7066560407448284)	(100, 0.708980708320543)	(102, 0.7123668098952851)	(104, 0.7162883953886985)	(106, 0.7210473696807458)	(108, 0.7259308135285674)	(110, 0.7322522779888441)	(112, 0.753725659819471)	(114, 0.7832948593522622)	(116, 0.8012640259445825)	(118, 0.8152427515445506)	(120, 0.8285281552359723)	(122, 0.8461694637218067)	(124, 0.8671063023183943)	(126, 0.8886093449793335)	(128, 0.913957702427169)	(130, 0.945066087190087)	(132, 0.9732862486013594)	(134, 0.9970906538999108)	(136, 1.019776951827231)	(138, 1.0418716221213606)
Tube4_Cort_22YMFCLT3_R1_merged - nextera_transposase_sequence	(1, 0.006353203002524324)	(2, 2.641625554553051)	(3, 2.641858476092797)	(4, 2.6418701708981396)	(5, 2.6419023316128327)	(6, 2.6419140264181755)	(7, 2.6419247466564064)	(8, 2.641940339730197)	(9, 2.642025127068933)	(10, 2.64205192766451)	(12, 2.642127943899239)	(14, 2.6425362875191283)	(16, 2.643199967722337)	(18, 2.64365119229515)	(20, 2.6439888797994264)	(22, 2.6465329872450605)	(24, 2.6502265965991896)	(26, 2.6559697205896597)	(28, 2.663178593516439)	(30, 2.6716003152139867)	(32, 2.6846609763642135)	(34, 2.7174410284567747)	(36, 2.783567356133916)	(38, 2.821169566296195)	(40, 2.847351311757587)	(42, 2.8701513093406605)	(44, 2.899699209606581)	(46, 2.939207185756195)	(48, 2.9759283872493096)	(50, 3.0176271902664915)	(52, 3.070508663609255)	(54, 3.117743007822071)	(56, 3.1479292495462903)	(58, 3.175234183604156)	(60, 3.201080190695496)	(62, 3.2276522502852067)	(64, 3.2536454170104454)	(66, 3.282696288049293)	(68, 3.313573985139411)	(70, 3.3487139514934556)	(72, 3.387983158700653)	(74, 3.433062247745485)	(76, 3.488545815277041)	(78, 3.553488043913214)	(80, 3.631150322494003)	(82, 3.7253958350510077)	(84, 3.838844217981036)	(86, 3.97698666967613)	(88, 4.143738026224821)	(90, 4.3364615963058455)	(92, 4.561630454676489)	(94, 4.830900911278723)	(96, 5.146674299476287)	(98, 5.508605622511565)	(100, 5.913235167137286)	(102, 6.356630067773346)	(104, 6.8524513189109095)	(106, 7.420440726535883)	(108, 8.041489466001543)	(110, 8.70797349879144)	(112, 9.41555112842202)	(114, 10.163404205802845)	(116, 10.965961684309255)	(118, 11.824213236843391)	(120, 12.714031505415768)	(122, 13.63566890290836)	(124, 14.59506687771892)	(126, 15.594606297301834)	(128, 16.642496915007808)	(130, 17.721217963298972)	(132, 18.796603555649632)	(134, 19.87222840422627)	(136, 20.96462214181394)	(138, 22.088193255878636)
Tube4_Cort_22YMFCLT3_R1_merged - polya	(1, 0.0)	(2, 0.0006149518476135677)	(3, 0.0021713355253296816)	(4, 0.004137037390046902)	(5, 0.007925179754030955)	(6, 0.012097301560106525)	(7, 0.015787987212899837)	(8, 0.021331324945429116)	(9, 0.030085861311693267)	(10, 0.050014784183087635)	(12, 0.0662803092808221)	(14, 0.0776232958963123)	(16, 0.08784699218377685)	(18, 0.09775346687631553)	(20, 0.10742165990999288)	(22, 0.11656748497168784)	(24, 0.12515001024270034)	(26, 0.13467299277670347)	(28, 0.14349379970657733)	(30, 0.1580133878233297)	(32, 0.17221575434515618)	(34, 0.18098393465098706)	(36, 0.18892665661303235)	(38, 0.19763831202637255)	(40, 0.20852812493482584)	(42, 0.21897743350869692)	(44, 0.2288536966207665)	(46, 0.2366867797827222)	(48, 0.24489702041698608)	(50, 0.25285679730348976)	(52, 0.2607556637454992)	(54, 0.2689785737522179)	(56, 0.27682871183863195)	(58, 0.2860140068683592)	(60, 0.29579037685145826)	(62, 0.3050604592199214)	(64, 0.31523981270379414)	(66, 0.32640347897069344)	(68, 0.3393642469919499)	(70, 0.3511696657020401)	(72, 0.36146889094067747)	(74, 0.37239476283227135)	(76, 0.38390634955812153)	(78, 0.3925259083793865)	(80, 0.40168489009709224)	(82, 0.4112190801528823)	(84, 0.4228807502139662)	(86, 0.4335200993746593)	(88, 0.4457289888690792)	(90, 0.4552578188057538)	(92, 0.4640966552271979)	(94, 0.4723137178312451)	(96, 0.47978280017690345)	(98, 0.48690639848139056)	(100, 0.49392181983645594)	(102, 0.500331060447915)	(104, 0.5064688841187077)	(106, 0.5136451090472378)	(108, 0.5202141786650496)	(110, 0.5268602390847021)	(112, 0.5328957332087447)	(114, 0.5394896542879102)	(116, 0.545605550198685)	(118, 0.5518457034162281)	(120, 0.5590994064301549)	(122, 0.5664032996503447)	(124, 0.5732432989252669)	(126, 0.5812035630953265)	(128, 0.5890020491248096)	(130, 0.5969837537713312)	(132, 0.6059078648150671)	(134, 0.6137302277387919)	(136, 0.6252271959579634)	(138, 0.6318791037802873)
Tube4_Cort_22YMFCLT3_R1_merged - polyg	(1, 0.0)	(2, 0.0)	(3, 0.01363419389558449)	(4, 0.015539472599363452)	(5, 0.019110286497392156)	(6, 0.02065984820532492)	(7, 0.022079792487373996)	(8, 0.023211264904298486)	(9, 0.024532777908044916)	(10, 0.02650676359321335)	(12, 0.02937637645422468)	(14, 0.03212904126180713)	(16, 0.03523839763234768)	(18, 0.03768845935168287)	(20, 0.040051297314502354)	(22, 0.04148780923745386)	(24, 0.0431523698645917)	(26, 0.044435387467417785)	(28, 0.046125774123021164)	(30, 0.047591523059329885)	(32, 0.04879024060697599)	(34, 0.04954699196937208)	(36, 0.05036806476115407)	(38, 0.0511097103333156)	(40, 0.05193029584154162)	(42, 0.05298623930729329)	(44, 0.05414987243891072)	(46, 0.055046961465421484)	(48, 0.056295869219330816)	(50, 0.09362617515738772)	(52, 0.09482537998858977)	(54, 0.09547541625223199)	(56, 0.09618490110970059)	(58, 0.09715995550516393)	(60, 0.09813159891573561)	(62, 0.09947552696305592)	(64, 0.10102898693943631)	(66, 0.10256636655847022)	(68, 0.11961251991284252)	(70, 0.20678754807295924)	(72, 0.29392944095127105)	(74, 0.9514050626422503)	(76, 2.3805994484339976)	(78, 2.67253200137297)	(80, 2.715419288983123)	(82, 2.7366614410378127)	(84, 2.752082016449523)	(86, 2.7640243618388363)	(88, 2.7742992228996766)	(90, 2.7809832914366934)	(92, 2.7859755114674387)	(94, 2.7906894925877346)	(96, 2.7961363481761854)	(98, 2.8032350950193186)	(100, 2.8118039763507645)	(102, 2.8220988160373985)	(104, 2.83439298015411)	(106, 2.852463890826653)	(108, 2.892973234683752)	(110, 2.947573357128364)	(112, 2.9869507412849825)	(114, 3.0168611805165324)	(116, 3.045078309391143)	(118, 3.0806368523197523)	(120, 3.1221524367198956)	(122, 3.1659514318632382)	(124, 3.2162936705959266)	(126, 3.2744714289083503)	(128, 3.327959570278276)	(130, 3.3712946714763503)	(132, 3.4108391938926608)	(134, 3.4487980956178976)	(136, 3.4850047256759256)	(138, 3.520533057024066)
Tube4_Cort_22YMFCLT3_R2_merged - nextera_transposase_sequence	(1, 0.006265491962452658)	(2, 2.676777215712439)	(3, 2.6769916204770583)	(4, 2.6770013661481773)	(5, 2.6770208574904157)	(6, 2.6770325522957585)	(7, 2.6770422979668775)	(8, 2.67705886560778)	(9, 2.6770773823829064)	(10, 2.6770954118744763)	(12, 2.677132445424729)	(14, 2.677491573405467)	(16, 2.6781133472228635)	(18, 2.67850999603741)	(20, 2.6788403742883466)	(22, 2.6813800961819774)	(24, 2.684979659809807)	(26, 2.690617530552192)	(28, 2.697676807427293)	(30, 2.7056088091511072)	(32, 2.718914573929979)	(34, 2.749547654675008)	(36, 2.814528378712102)	(38, 2.8489856608042556)	(40, 2.8736080988865957)	(42, 2.8946840872487054)	(44, 2.9214846828261587)	(46, 2.9587545656032774)	(48, 2.9925491420593344)	(50, 3.029905274025857)	(52, 3.0782974039676185)	(54, 3.120178451034727)	(56, 3.1452316477805304)	(58, 3.168950174866577)	(60, 3.19145877688319)	(62, 3.216530003120564)	(64, 3.241965717457791)	(66, 3.270767586599546)	(68, 3.3012203724288725)	(70, 3.3359919524146164)	(72, 3.3749517345637825)	(74, 3.4197379661914873)	(76, 3.474942807529038)	(78, 3.539666733132144)	(80, 3.6172115763759476)	(82, 3.711176413604723)	(84, 3.824329989983399)	(86, 3.962023166239904)	(88, 4.128150799836974)	(90, 4.320013827158183)	(92, 4.5445672463976585)	(94, 4.8128597249030936)	(96, 5.127371535974293)	(98, 5.48785172857994)	(100, 5.890674425780185)	(102, 6.332304385376581)	(104, 6.825903623498997)	(106, 7.391190069239095)	(108, 8.009095829768853)	(110, 8.672893955598333)	(112, 9.378135547861673)	(114, 10.124244637395739)	(116, 10.924908532003712)	(118, 11.781080358321038)	(120, 12.669048898515012)	(122, 13.588557354151646)	(124, 14.545600287536281)	(126, 15.543122353197544)	(128, 16.58878608505281)	(130, 17.666267483977627)	(132, 18.741435260578783)	(134, 19.81680769627343)	(136, 20.9087102520367)	(138, 22.03251721134248)
Tube4_Cort_22YMFCLT3_R2_merged - polya	(1, 2.5338744909592333e-05)	(2, 0.011330317243035402)	(3, 0.01745742067559721)	(4, 0.020327520820164494)	(5, 0.023371093910651296)	(6, 0.026034585827494214)	(7, 0.028094820702066453)	(8, 0.029794465745232954)	(9, 0.03417904318170433)	(10, 0.0425471636880972)	(12, 0.04840626116488447)	(14, 0.053515429249059006)	(16, 0.05987594150492263)	(18, 0.06643039261605584)	(20, 0.07293708993870557)	(22, 0.0794871554978352)	(24, 0.08511771698688018)	(26, 0.0923309754656628)	(28, 0.09817350530154763)	(30, 0.10399313281030265)	(32, 0.11007638072282863)	(34, 0.11641106695022671)	(36, 0.1236496641739189)	(38, 0.13105442509019133)	(40, 0.13756550796484462)	(42, 0.14350939278036784)	(44, 0.14975441883347046)	(46, 0.15549169542126928)	(48, 0.16195015167187965)	(50, 0.16828483789927773)	(52, 0.17369758363881138)	(54, 0.17940757234747684)	(56, 0.18456985433925033)	(58, 0.19040410035468394)	(60, 0.1960161450686027)	(62, 0.20117891434393215)	(64, 0.20659750748613726)	(66, 0.2119191312007076)	(68, 0.217545307137749)	(70, 0.22353450932397592)	(72, 0.22935121313139523)	(74, 0.23486969940257085)	(76, 0.24053826900898023)	(78, 0.24661030939971929)	(80, 0.2520576522717257)	(82, 0.2582354331941067)	(84, 0.2644853320827688)	(86, 0.2702026300447736)	(88, 0.27591749158899853)	(90, 0.28216105579143325)	(92, 0.2881819314087972)	(94, 0.2946252818691729)	(96, 0.301076428866444)	(98, 0.3073760306778134)	(100, 0.31463070825885203)	(102, 0.32176795050290585)	(104, 0.32837210453674637)	(106, 0.33454160163867613)	(108, 0.3406229004169783)	(110, 0.34586655876259603)	(112, 0.3514479046124897)	(114, 0.35745221258895116)	(116, 0.36293220345920646)	(118, 0.36895649006146203)	(120, 0.3742133050630906)	(122, 0.38008409734522075)	(124, 0.38685880062364497)	(126, 0.39301806477089973)	(128, 0.39945751696282783)	(130, 0.40537021563077)	(132, 0.41230767161688286)	(134, 0.4180439736375698)	(136, 0.42308346017324294)	(138, 0.4281624166769483)
Tube4_Cort_22YMFCLT3_R2_merged - polyg	(1, 0.026083314183089585)	(2, 0.03261291383286915)	(3, 0.03896124399983393)	(4, 0.04031686685249712)	(5, 0.04497237394607876)	(6, 0.04669443403281913)	(7, 0.047860990865772286)	(8, 0.04912890267836381)	(9, 0.05027012076640738)	(10, 0.05180360211699366)	(12, 0.05459037677349286)	(14, 0.0563865039607382)	(16, 0.05785761301616242)	(18, 0.059016373312220316)	(20, 0.06002846125793614)	(22, 0.06086707625773246)	(24, 0.06153660386361284)	(26, 0.06211890771297751)	(28, 0.06286932438914622)	(30, 0.06357198727683144)	(32, 0.06423859118137609)	(34, 0.06599573568414514)	(36, 0.06649130306055005)	(38, 0.0670653230894635)	(40, 0.06761254252279952)	(42, 0.0681641475081391)	(44, 0.06875619702862285)	(46, 0.06929610720861953)	(48, 0.06979459828636017)	(50, 0.07031404255700682)	(52, 0.07086759667657022)	(54, 0.07143771843703604)	(56, 0.07200345464549829)	(58, 0.07261938106022375)	(60, 0.07328501039765652)	(62, 0.07394284319819401)	(64, 0.07461237080407439)	(66, 0.07531698282598344)	(68, 0.07599333240164717)	(70, 0.07665311433640848)	(72, 0.07729973961515904)	(74, 0.07844777967298595)	(76, 0.08462507331181099)	(78, 0.759035747706405)	(80, 2.7091640299753452)	(82, 2.75384305922074)	(84, 2.768722262601786)	(86, 2.7787666385406595)	(88, 2.7860861248346405)	(90, 2.7932745318520693)	(92, 2.798424144471388)	(94, 2.801581254630412)	(96, 2.804051782259097)	(98, 2.8067990869475645)	(100, 2.810610618922234)	(102, 2.8164161152078666)	(104, 2.822828279520661)	(106, 2.8311895780572707)	(108, 2.840554193435589)	(110, 2.855442655204198)	(112, 2.9022233384264213)	(114, 2.9573165918296582)	(116, 2.9906984391138223)	(118, 3.017430327709886)	(120, 3.042404584519625)	(122, 3.077966538433126)	(124, 3.1187083165464147)	(126, 3.160889043000435)	(128, 3.2117112560357377)	(130, 3.273198156976643)	(132, 3.325695163593759)	(134, 3.3681492561226696)	(136, 3.40735657831826)	(138, 3.4434998615140135)
