"gene","filtered_output2_260_WT_1_B2","filtered_output2_985_SOCS3_1_B2","filtered_output2_Tube1_SOCS3_2_B1","filtered_output2_Tube2_SOCS3_3_B1","filtered_output2_Tube3_WT_2_B1","filtered_output2_Tube4_WT_3_B1"
"ENSMUSG00000035126",119,143,53,165,143,94
"ENSMUSG00000035131",0,0,0,0,0,0
"ENSMUSG00000035133",129,191,49,82,48,38
"ENSMUSG00000035139",40,47,29,11,6,16
"ENSMUSG00000035142",14,44,5,16,5,11
"ENSMUSG00000035148",0,0,0,0,0,0
"ENSMUSG00000035150",0,0,0,0,0,0
"ENSMUSG00000035151",347,166,124,62,89,152
"ENSMUSG00000035152",2956,2863,3478,2639,2267,2887
"ENSMUSG00000035158",491,954,525,835,525,244
"ENSMUSG00000035161",2333,2968,2199,2187,1755,1709
"ENSMUSG00000035164",92,161,44,94,81,26
"ENSMUSG00000035165",22,24,7,16,17,21
"ENSMUSG00000035168",367,490,198,465,313,203
"ENSMUSG00000035171",83,114,11,45,43,16
"ENSMUSG00000035172",1146,1260,736,809,646,632
"ENSMUSG00000035173",805,956,1588,1009,1122,1103
"ENSMUSG00000035177",0,0,0,0,0,0
"ENSMUSG00000035179",32,30,63,35,45,29
"ENSMUSG00000035181",1447,1864,1336,1255,1159,1083
"ENSMUSG00000035183",0,0,0,0,0,0
"ENSMUSG00000035184",445,683,166,256,231,143
"ENSMUSG00000035186",2,7,0,0,1,0
"ENSMUSG00000035187",161,232,92,140,178,133
"ENSMUSG00000035189",145,161,116,128,116,83
"ENSMUSG00000035191",5,12,5,9,6,0
"ENSMUSG00000035198",553,583,480,362,286,429
"ENSMUSG00000035199",14,8,9,0,2,7
"ENSMUSG00000035200",90,109,62,42,88,52
"ENSMUSG00000035201",2,1,0,0,0,3
"ENSMUSG00000035202",9,6,2,0,2,0
"ENSMUSG00000035203",2962,2700,3164,2616,2341,2818
"ENSMUSG00000035206",1254,1189,1105,884,840,970
"ENSMUSG00000035208",118,150,183,155,135,157
"ENSMUSG00000035211",478,609,152,222,203,107
"ENSMUSG00000035212",57,40,7,9,25,13
"ENSMUSG00000035215",148,194,115,98,80,55
"ENSMUSG00000035226",938,889,503,518,588,497
"ENSMUSG00000035227",18,15,6,3,2,0
"ENSMUSG00000035228",71,91,72,41,60,41
"ENSMUSG00000035232",0,0,0,0,3,0
"ENSMUSG00000035234",0,0,0,0,0,0
"ENSMUSG00000035235",0,0,0,0,0,0
"ENSMUSG00000035236",2533,3711,5064,5402,6150,5346
"ENSMUSG00000035237",192,151,179,105,108,160
"ENSMUSG00000035238",258,246,94,71,106,96
"ENSMUSG00000035239",147,149,118,144,104,87
"ENSMUSG00000035242",215,361,226,218,278,124
"ENSMUSG00000035245",149,187,280,245,162,159
"ENSMUSG00000035246",0,0,0,0,0,0
"ENSMUSG00000035247",4420,4886,3936,3633,3258,3303
"ENSMUSG00000035248",3,0,0,0,0,0
"ENSMUSG00000035258",58,134,26,132,76,17
"ENSMUSG00000035262",523,578,806,560,508,664
"ENSMUSG00000035266",4,3,8,1,0,0
"ENSMUSG00000035268",11,2,8,7,20,0
"ENSMUSG00000035270",941,798,756,479,603,566
"ENSMUSG00000035273",110,145,119,96,137,63
"ENSMUSG00000035274",455,478,464,404,409,394
"ENSMUSG00000035275",65,101,103,115,158,109
"ENSMUSG00000035277",0,7,0,0,1,0
"ENSMUSG00000035278",51,43,14,41,33,24
"ENSMUSG00000035279",123,533,738,964,549,500
"ENSMUSG00000035283",10,0,4,0,3,2
"ENSMUSG00000035284",2132,2272,1417,1453,1285,1353
"ENSMUSG00000035285",126,389,616,809,410,386
"ENSMUSG00000035293",611,752,482,508,475,351
"ENSMUSG00000035295",61,83,11,41,26,14
"ENSMUSG00000035296",11,11,10,16,10,9
"ENSMUSG00000035297",1078,989,1267,883,894,1318
"ENSMUSG00000035298",1022,1037,793,730,599,727
"ENSMUSG00000035299",4,4,0,4,0,5
"ENSMUSG00000035305",28,74,0,58,21,24
"ENSMUSG00000035311",11,36,9,16,5,7
"ENSMUSG00000035314",1481,1436,409,720,619,518
"ENSMUSG00000035325",4199,4413,4650,3593,3295,4029
"ENSMUSG00000035329",0,0,0,0,0,0
"ENSMUSG00000035337",68,65,19,8,25,16
"ENSMUSG00000035342",282,265,366,292,263,329
"ENSMUSG00000035351",0,8,0,4,0,0
"ENSMUSG00000035352",0,10,0,6,3,0
"ENSMUSG00000035354",760,634,760,586,666,703
"ENSMUSG00000035355",12,47,14,15,9,0
"ENSMUSG00000035356",11,0,8,7,13,0
"ENSMUSG00000035357",201,265,226,327,248,180
"ENSMUSG00000035365",15,33,0,6,10,12
"ENSMUSG00000035367",10,16,6,0,0,0
"ENSMUSG00000035370",0,0,0,0,0,0
"ENSMUSG00000035371",0,0,0,0,0,0
"ENSMUSG00000035372",68,50,62,51,62,63
"ENSMUSG00000035373",0,0,0,0,0,0
"ENSMUSG00000035376",270,235,426,333,368,538
"ENSMUSG00000035378",68,76,39,27,31,15
"ENSMUSG00000035382",390,543,386,419,367,460
"ENSMUSG00000035383",7,0,0,0,2,7
"ENSMUSG00000035385",0,0,0,6,2,0
"ENSMUSG00000035387",0,0,0,0,0,0
"ENSMUSG00000035390",190,321,174,124,123,94
"ENSMUSG00000035392",799,1083,242,545,448,342
"ENSMUSG00000035394",0,0,0,0,0,0
"ENSMUSG00000035395",0,0,0,0,0,0
"ENSMUSG00000035397",1561,1587,1921,1363,1217,1385
"ENSMUSG00000035399",56,23,6,30,9,24
"ENSMUSG00000035401",2431,3290,1015,1833,1329,1096
"ENSMUSG00000035403",349,792,118,232,245,175
"ENSMUSG00000035407",81,34,50,14,21,11
"ENSMUSG00000035413",53,128,19,145,49,45
"ENSMUSG00000035420",0,0,3,0,0,0
"ENSMUSG00000035427",0,0,0,0,0,0
"ENSMUSG00000035429",0,2,0,6,5,0
"ENSMUSG00000035431",15,5,13,10,16,6
"ENSMUSG00000035435",1596,1863,2178,1933,1793,1828
"ENSMUSG00000035437",1510,1740,1860,1467,1472,1529
"ENSMUSG00000035439",1332,1196,1019,653,835,1044
"ENSMUSG00000035441",542,1006,855,1233,1145,939
"ENSMUSG00000035443",0,0,0,0,0,0
"ENSMUSG00000035448",939,948,823,811,771,714
"ENSMUSG00000035451",4,0,0,0,0,0
"ENSMUSG00000035454",2,6,0,2,0,0
"ENSMUSG00000035455",1798,1971,268,618,613,459
"ENSMUSG00000035456",0,0,0,0,0,2
"ENSMUSG00000035458",203,266,306,237,159,129
"ENSMUSG00000035459",20725,15532,30310,21938,20980,26629
"ENSMUSG00000035469",390,562,326,367,340,312
"ENSMUSG00000035472",39,49,7,11,23,24
"ENSMUSG00000035473",166,185,162,174,169,138
"ENSMUSG00000035476",0,0,0,9,0,0
"ENSMUSG00000035478",167,116,101,75,107,92
"ENSMUSG00000035486",0,0,2,8,2,6
"ENSMUSG00000035491",0,0,0,0,0,3
"ENSMUSG00000035493",7,10,0,6,5,7
"ENSMUSG00000035495",1076,1228,1563,1247,1222,1361
"ENSMUSG00000035498",1403,1605,1597,1043,1048,1356
"ENSMUSG00000035504",1507,1606,1828,1726,1782,2138
"ENSMUSG00000035505",895,885,475,514,518,495
"ENSMUSG00000035506",1036,917,662,652,479,522
"ENSMUSG00000035509",12,7,12,23,19,13
"ENSMUSG00000035513",115,131,125,101,124,149
"ENSMUSG00000035517",1558,1792,2069,1851,1487,1630
"ENSMUSG00000035521",1,0,0,0,0,0
"ENSMUSG00000035522",0,0,0,0,0,1
"ENSMUSG00000035523",2,1,0,0,0,0
"ENSMUSG00000035528",11,17,39,32,25,17
"ENSMUSG00000035529",11,26,2,10,4,14
"ENSMUSG00000035530",0,0,0,0,0,0
"ENSMUSG00000035539",47,50,19,55,26,24
"ENSMUSG00000035540",0,0,0,0,0,0
"ENSMUSG00000035545",7825,8376,6573,5117,5532,4326
"ENSMUSG00000035547",120,175,25,99,51,44
"ENSMUSG00000035551",0,0,0,0,0,0
"ENSMUSG00000035557",0,0,0,0,0,0
"ENSMUSG00000035559",0,3,0,0,0,3
"ENSMUSG00000035560",0,0,0,1,0,0
"ENSMUSG00000035561",299,259,412,325,273,316
"ENSMUSG00000035566",1,0,0,0,0,0
"ENSMUSG00000035569",6,44,27,24,11,10
"ENSMUSG00000035572",1276,1502,1888,1603,1546,1543
"ENSMUSG00000035575",4,2,6,0,0,2
"ENSMUSG00000035576",0,0,0,0,0,0
"ENSMUSG00000035578",295,260,159,194,195,160
"ENSMUSG00000035580",0,1,0,1,0,0
"ENSMUSG00000035582",340,530,212,296,222,176
"ENSMUSG00000035585",224,172,149,160,172,119
"ENSMUSG00000035592",0,0,0,0,0,0
"ENSMUSG00000035594",1120,1136,1356,1113,1096,1122
"ENSMUSG00000035595",385,486,403,316,280,438
"ENSMUSG00000035596",1797,1995,2372,1767,1753,1769
"ENSMUSG00000035597",691,694,638,434,504,458
"ENSMUSG00000035601",243,229,289,265,245,294
"ENSMUSG00000035606",0,0,0,0,0,0
"ENSMUSG00000035614",2689,3122,2504,2489,2284,1913
"ENSMUSG00000035615",14,9,20,26,39,0
"ENSMUSG00000035620",4,0,0,0,2,0
"ENSMUSG00000035621",3793,3678,5667,3750,3399,5261
"ENSMUSG00000035623",2036,2334,3170,2937,2163,2119
"ENSMUSG00000035626",0,0,0,0,0,0
"ENSMUSG00000035629",1049,873,753,532,654,779
"ENSMUSG00000035632",2559,2835,2521,1924,2007,2175
"ENSMUSG00000035637",297,286,331,327,289,483
"ENSMUSG00000035638",1963,1951,2703,1830,1525,1641
"ENSMUSG00000035640",521,564,685,537,495,496
"ENSMUSG00000035642",350,509,124,559,294,222
"ENSMUSG00000035649",3536,3749,2681,2522,2417,2154
"ENSMUSG00000035651",19,0,2,3,0,0
"ENSMUSG00000035653",1,0,1,0,0,0
"ENSMUSG00000035666",76,78,44,49,30,13
"ENSMUSG00000035671",161,161,218,248,181,197
"ENSMUSG00000035673",3523,3642,4561,3800,3507,4830
"ENSMUSG00000035674",196,235,279,165,260,218
"ENSMUSG00000035678",109,136,24,60,31,10
"ENSMUSG00000035681",56,22,6,12,15,12
"ENSMUSG00000035683",723,788,1216,859,805,1052
"ENSMUSG00000035686",100,106,55,80,125,68
"ENSMUSG00000035692",0,0,0,0,0,0
"ENSMUSG00000035694",79,81,36,50,33,36
"ENSMUSG00000035696",6639,7430,8582,6138,5980,7068
"ENSMUSG00000035697",9428,9044,16396,10981,10033,12103
"ENSMUSG00000035699",194,295,256,202,195,172
"ENSMUSG00000035704",160,173,98,120,85,89
"ENSMUSG00000035711",672,690,926,649,501,694
"ENSMUSG00000035713",289,329,106,176,82,131
"ENSMUSG00000035722",80,88,71,69,70,29
"ENSMUSG00000035725",3,3,0,0,0,0
"ENSMUSG00000035726",0,0,0,0,0,0
"ENSMUSG00000035735",21,80,56,122,65,75
"ENSMUSG00000035745",608,735,635,539,451,611
"ENSMUSG00000035754",346,457,99,201,185,169
"ENSMUSG00000035757",0,0,0,0,0,0
"ENSMUSG00000035759",11,4,11,1,0,0
"ENSMUSG00000035762",6,2,1,0,1,0
"ENSMUSG00000035764",515,676,198,487,374,241
"ENSMUSG00000035765",687,811,200,357,306,297
"ENSMUSG00000035769",22,43,27,26,20,2
"ENSMUSG00000035770",6,15,4,8,5,6
"ENSMUSG00000035772",14,14,8,1,16,0
"ENSMUSG00000035773",37,29,14,13,9,22
"ENSMUSG00000035775",2,0,0,0,0,0
"ENSMUSG00000035776",82,94,96,122,89,132
"ENSMUSG00000035778",12536,16676,28435,29557,31745,19298
"ENSMUSG00000035780",0,0,0,0,0,0
"ENSMUSG00000035781",91,60,53,33,30,35
"ENSMUSG00000035783",349,489,340,341,312,205
"ENSMUSG00000035785",0,0,0,0,0,0
"ENSMUSG00000035790",7,3,0,0,6,0
"ENSMUSG00000035798",452,508,526,328,422,472
"ENSMUSG00000035799",0,8,0,3,8,3
"ENSMUSG00000035804",0,0,0,0,0,0
"ENSMUSG00000035805",548,389,1183,747,673,818
"ENSMUSG00000035811",7,2,1,1,0,1
"ENSMUSG00000035818",37,36,32,27,3,34
"ENSMUSG00000035824",160,93,121,44,71,81
"ENSMUSG00000035828",12,32,11,2,9,13
"ENSMUSG00000035829",49,94,0,32,11,6
"ENSMUSG00000035831",1234,1091,1341,924,945,1066
"ENSMUSG00000035834",1,2,0,0,0,0
"ENSMUSG00000035835",1015,902,1551,1368,1163,1265
"ENSMUSG00000035836",0,0,0,0,0,0
"ENSMUSG00000035840",3,6,0,0,0,5
"ENSMUSG00000035842",13,35,30,36,24,11
"ENSMUSG00000035845",1096,1304,1231,1007,942,1055
"ENSMUSG00000035847",353,667,104,451,280,146
"ENSMUSG00000035849",15,5,8,4,8,4
"ENSMUSG00000035851",1,0,0,0,0,0
"ENSMUSG00000035852",0,0,5,0,1,0
"ENSMUSG00000035860",32,18,30,17,10,27
"ENSMUSG00000035861",1515,1614,745,777,849,563
"ENSMUSG00000035863",0,0,2,0,4,0
"ENSMUSG00000035864",181,193,110,76,131,101
"ENSMUSG00000035868",91,119,36,97,71,71
"ENSMUSG00000035873",1379,1556,1272,1077,968,1012
"ENSMUSG00000035875",19,19,53,11,58,21
"ENSMUSG00000035877",272,395,266,358,220,152
"ENSMUSG00000035878",214,191,388,244,215,298
"ENSMUSG00000035885",25,25,0,16,12,3
"ENSMUSG00000035890",0,0,0,0,0,0
"ENSMUSG00000035891",118,89,69,37,63,59
"ENSMUSG00000035896",0,0,0,0,0,0
"ENSMUSG00000035898",0,0,0,0,0,0
"ENSMUSG00000035900",100,42,23,69,41,23
"ENSMUSG00000035901",13115,11152,18724,13437,12267,14671
"ENSMUSG00000035910",3,1,1,0,0,2
"ENSMUSG00000035914",0,0,0,0,0,0
"ENSMUSG00000035916",30,29,52,79,74,42
"ENSMUSG00000035919",285,285,154,197,130,138
"ENSMUSG00000035923",0,2,3,0,1,0
"ENSMUSG00000035929",0,0,0,0,0,0
"ENSMUSG00000035930",3,9,0,6,9,22
"ENSMUSG00000035932",0,0,0,0,1,0
"ENSMUSG00000035933",1377,1538,1748,1311,1192,1713
"ENSMUSG00000035934",78,191,30,139,75,25
"ENSMUSG00000035936",0,0,0,0,0,0
"ENSMUSG00000035941",0,0,0,0,0,0
"ENSMUSG00000035944",11,5,17,19,22,0
"ENSMUSG00000035946",0,2,0,7,0,0
"ENSMUSG00000035948",51,58,37,32,58,77
"ENSMUSG00000035949",2334,2563,1829,1744,1585,1484
"ENSMUSG00000035951",0,0,0,0,0,0
"ENSMUSG00000035953",4,0,0,0,3,0
"ENSMUSG00000035954",1230,1580,1444,1549,1282,1026
"ENSMUSG00000035958",133,137,94,143,139,79
"ENSMUSG00000035960",0,2,9,18,5,0
"ENSMUSG00000035963",0,0,0,0,0,0
"ENSMUSG00000035964",6,5,3,2,0,0
"ENSMUSG00000035967",0,0,0,2,0,1
"ENSMUSG00000035969",1099,1679,2511,2247,2117,1810
"ENSMUSG00000035984",2,0,7,0,0,4
"ENSMUSG00000035992",1,0,0,0,0,8
"ENSMUSG00000036002",1663,1759,2411,2060,1738,1936
"ENSMUSG00000036006",94,140,127,99,68,101
"ENSMUSG00000036009",2,1,1,3,5,7
"ENSMUSG00000036013",6,0,0,4,3,0
"ENSMUSG00000036019",12,13,6,19,15,12
"ENSMUSG00000036022",7,16,5,9,2,1
"ENSMUSG00000036023",48,26,17,17,4,28
"ENSMUSG00000036026",87,43,26,13,39,37
"ENSMUSG00000036027",92,47,2,11,42,24
"ENSMUSG00000036030",119,224,33,96,70,92
"ENSMUSG00000036036",5,0,0,4,0,5
"ENSMUSG00000036040",12,7,29,34,16,0
"ENSMUSG00000036046",68,46,4,37,27,20
"ENSMUSG00000036052",797,867,1204,963,992,825
"ENSMUSG00000036053",478,759,185,681,379,126
"ENSMUSG00000036054",4406,4862,3413,3663,3445,2536
"ENSMUSG00000036057",235,365,75,124,150,79
"ENSMUSG00000036061",74,69,31,114,62,65
"ENSMUSG00000036062",37,101,87,113,76,69
"ENSMUSG00000036067",5062,6194,9079,5359,6279,6281
"ENSMUSG00000036073",666,775,896,583,494,641
"ENSMUSG00000036078",1036,1057,1853,1510,1192,1356
"ENSMUSG00000036083",200,264,167,245,199,178
"ENSMUSG00000036086",886,935,621,722,586,485
"ENSMUSG00000036087",2145,2278,1493,1192,1288,1195
"ENSMUSG00000036091",3,5,2,3,6,2
"ENSMUSG00000036093",28,11,13,6,6,7
"ENSMUSG00000036095",7,10,2,32,11,10
"ENSMUSG00000036097",1261,1497,967,837,894,720
"ENSMUSG00000036098",3310,3862,5725,4900,4199,4841
"ENSMUSG00000036099",21,33,1,12,32,0
"ENSMUSG00000036103",3980,7694,6773,9023,12125,9161
"ENSMUSG00000036104",1630,1953,1501,1316,1426,1313
"ENSMUSG00000036106",53,105,66,37,42,80
"ENSMUSG00000036109",14,11,5,5,7,6
"ENSMUSG00000036110",6,41,2,20,28,22
"ENSMUSG00000036111",0,0,0,0,0,0
"ENSMUSG00000036112",73,161,42,62,106,26
"ENSMUSG00000036114",239,211,234,136,209,216
"ENSMUSG00000036117",22,36,3,7,11,37
"ENSMUSG00000036120",451,534,572,494,473,438
"ENSMUSG00000036123",1462,1509,1676,1416,1436,1433
"ENSMUSG00000036131",0,0,0,2,0,0
"ENSMUSG00000036136",5,0,0,0,0,0
"ENSMUSG00000036138",1,0,0,0,0,0
"ENSMUSG00000036139",0,0,0,0,0,0
"ENSMUSG00000036144",1,7,0,1,1,0
"ENSMUSG00000036151",2702,2691,3901,3369,2756,3726
"ENSMUSG00000036155",1587,1979,1084,1192,1143,908
"ENSMUSG00000036158",772,692,680,629,664,668
"ENSMUSG00000036160",0,0,0,0,0,0
"ENSMUSG00000036167",595,642,280,302,324,182
"ENSMUSG00000036168",6,7,10,1,1,3
"ENSMUSG00000036169",3,6,0,0,0,4
"ENSMUSG00000036172",352,450,110,230,85,168
"ENSMUSG00000036180",103,126,40,82,87,44
"ENSMUSG00000036181",0,0,0,0,0,0
"ENSMUSG00000036185",155,128,106,87,91,28
"ENSMUSG00000036186",3,0,4,1,1,0
"ENSMUSG00000036188",3,0,0,3,0,0
"ENSMUSG00000036192",8,5,26,9,13,3
"ENSMUSG00000036196",84,108,91,70,74,102
"ENSMUSG00000036197",0,0,0,3,0,0
"ENSMUSG00000036198",264,370,164,189,118,112
"ENSMUSG00000036199",59,79,37,54,45,50
"ENSMUSG00000036202",76,53,9,37,29,32
"ENSMUSG00000036206",163,277,144,259,195,136
"ENSMUSG00000036208",299,515,182,513,302,185
"ENSMUSG00000036211",0,0,0,0,0,0
"ENSMUSG00000036214",103,86,16,49,29,37
"ENSMUSG00000036216",1,1,0,0,0,1
"ENSMUSG00000036218",85,110,10,44,35,21
"ENSMUSG00000036223",2,3,0,0,0,9
"ENSMUSG00000036225",325,374,149,191,254,107
"ENSMUSG00000036231",15,13,1,3,13,7
"ENSMUSG00000036241",2843,2879,4346,3275,2860,3702
"ENSMUSG00000036242",1,0,0,1,0,1
"ENSMUSG00000036244",23,39,18,26,11,2
"ENSMUSG00000036246",201,331,171,178,137,164
"ENSMUSG00000036249",0,0,0,0,0,0
"ENSMUSG00000036251",1596,1877,1873,1214,1373,1691
"ENSMUSG00000036256",1,0,0,0,0,0
"ENSMUSG00000036257",171,187,76,154,100,77
"ENSMUSG00000036264",32,49,0,16,6,19
"ENSMUSG00000036270",31,17,12,12,12,6
"ENSMUSG00000036273",824,1143,511,647,614,526
"ENSMUSG00000036275",4,0,0,0,0,0
"ENSMUSG00000036278",787,742,1427,874,774,856
"ENSMUSG00000036281",0,2,0,8,0,0
"ENSMUSG00000036282",0,0,0,0,0,0
"ENSMUSG00000036285",8,1,0,0,0,0
"ENSMUSG00000036291",6,0,0,0,0,0
"ENSMUSG00000036292",60,14,9,13,15,19
"ENSMUSG00000036295",28,61,4,18,7,1
"ENSMUSG00000036298",249,261,59,121,124,104
"ENSMUSG00000036299",159,275,39,75,49,40
"ENSMUSG00000036304",15,4,0,0,0,0
"ENSMUSG00000036306",248,283,302,149,209,239
"ENSMUSG00000036309",330,461,197,284,210,177
"ENSMUSG00000036315",31,24,7,10,4,8
"ENSMUSG00000036322",0,2,0,0,0,10
"ENSMUSG00000036323",19,15,12,7,7,8
"ENSMUSG00000036327",130,162,32,94,50,18
"ENSMUSG00000036330",0,1,3,0,1,2
"ENSMUSG00000036333",1987,2431,2406,2390,1899,2107
"ENSMUSG00000036334",286,427,75,128,106,67
"ENSMUSG00000036339",7,0,0,1,4,15
"ENSMUSG00000036352",7,0,7,7,7,0
"ENSMUSG00000036353",105,149,66,78,33,38
"ENSMUSG00000036356",415,406,325,343,271,292
"ENSMUSG00000036357",3,0,5,5,0,0
"ENSMUSG00000036362",242,310,332,329,265,333
"ENSMUSG00000036368",103,102,225,152,134,182
"ENSMUSG00000036371",2923,2726,3151,2721,2320,2667
"ENSMUSG00000036372",111,189,170,223,199,227
"ENSMUSG00000036376",54,102,7,31,42,4
"ENSMUSG00000036377",1227,1306,1778,1353,1130,1553
"ENSMUSG00000036381",23,136,20,26,12,0
"ENSMUSG00000036390",91,116,26,44,31,20
"ENSMUSG00000036391",5552,6222,6851,5489,4812,4974
"ENSMUSG00000036395",1,1,1,1,5,1
"ENSMUSG00000036398",26,7,5,0,0,4
"ENSMUSG00000036401",0,0,0,0,0,7
"ENSMUSG00000036402",432,649,103,370,292,218
"ENSMUSG00000036403",115,115,60,68,48,42
"ENSMUSG00000036411",398,577,83,113,143,67
"ENSMUSG00000036412",622,1042,794,882,911,1038
"ENSMUSG00000036422",489,535,407,269,204,256
"ENSMUSG00000036427",2,3,6,14,7,5
"ENSMUSG00000036430",47,86,12,39,27,28
"ENSMUSG00000036432",873,895,912,819,710,872
"ENSMUSG00000036435",156,174,10,26,51,7
"ENSMUSG00000036437",0,0,0,0,0,0
"ENSMUSG00000036438",30,22,18,16,8,19
"ENSMUSG00000036442",0,0,0,0,3,0
"ENSMUSG00000036446",15,22,6,17,21,4
"ENSMUSG00000036449",335,303,219,195,206,118
"ENSMUSG00000036450",444,443,378,392,390,396
"ENSMUSG00000036452",973,999,436,591,484,505
"ENSMUSG00000036459",0,0,0,0,0,0
"ENSMUSG00000036461",0,0,0,0,0,0
"ENSMUSG00000036463",4,29,0,0,22,0
"ENSMUSG00000036466",30,26,15,16,13,39
"ENSMUSG00000036469",303,391,43,121,85,136
"ENSMUSG00000036473",1766,1851,2272,1712,1669,1721
"ENSMUSG00000036478",20,10,0,9,4,8
"ENSMUSG00000036480",0,0,0,6,0,0
"ENSMUSG00000036492",17,7,0,10,5,1
"ENSMUSG00000036499",108,153,28,13,16,35
"ENSMUSG00000036500",86,114,71,78,73,59
"ENSMUSG00000036501",2441,2553,3284,2260,2047,2831
"ENSMUSG00000036502",0,0,0,0,0,0
"ENSMUSG00000036503",142,199,40,96,76,55
"ENSMUSG00000036504",10,0,0,5,0,0
"ENSMUSG00000036510",0,0,0,0,0,0
"ENSMUSG00000036513",165,325,57,286,213,110
"ENSMUSG00000036521",6,19,22,9,3,5
"ENSMUSG00000036523",23,91,26,94,22,167
"ENSMUSG00000036526",550,354,227,114,161,364
"ENSMUSG00000036528",3,3,1,2,0,3
"ENSMUSG00000036529",416,525,283,340,327,225
"ENSMUSG00000036533",0,4,0,0,1,2
"ENSMUSG00000036534",0,0,0,0,0,0
"ENSMUSG00000036537",0,0,0,0,0,0
"ENSMUSG00000036545",584,1470,613,1028,1240,818
"ENSMUSG00000036550",0,1,0,0,3,0
"ENSMUSG00000036551",0,0,0,0,0,0
"ENSMUSG00000036552",0,0,0,0,3,1
"ENSMUSG00000036553",60,72,15,39,26,20
"ENSMUSG00000036555",1123,1407,1107,908,931,937
"ENSMUSG00000036557",177,144,188,181,175,101
"ENSMUSG00000036560",5,17,6,3,1,1
"ENSMUSG00000036561",4853,4655,8239,7120,5029,5279
"ENSMUSG00000036564",0,0,0,0,0,0
"ENSMUSG00000036565",4399,4718,5790,4849,4285,4158
"ENSMUSG00000036568",121,104,98,77,79,97
"ENSMUSG00000036570",73,221,58,176,216,61
"ENSMUSG00000036572",856,1105,1905,1395,1311,1149
"ENSMUSG00000036574",1591,1653,2559,1996,1886,1943
"ENSMUSG00000036578",102,145,69,89,61,28
"ENSMUSG00000036580",24,32,20,8,3,15
"ENSMUSG00000036585",380,344,102,189,192,51
"ENSMUSG00000036586",3,6,0,0,0,0
"ENSMUSG00000036587",0,0,0,0,0,0
"ENSMUSG00000036591",1233,1959,1667,1605,1593,1074
"ENSMUSG00000036594",5,15,7,3,0,0
"ENSMUSG00000036596",692,1141,1148,1460,1483,1029
"ENSMUSG00000036598",0,0,0,0,0,0
"ENSMUSG00000036599",379,475,183,200,166,133
"ENSMUSG00000036602",0,0,0,0,0,0
"ENSMUSG00000036606",13,5,5,0,3,2
"ENSMUSG00000036611",211,308,65,192,96,137
"ENSMUSG00000036613",57,148,20,50,62,20
"ENSMUSG00000036615",841,841,823,704,653,832
"ENSMUSG00000036617",367,390,514,434,449,702
"ENSMUSG00000036620",86,196,154,82,113,137
"ENSMUSG00000036622",5151,4926,9049,7189,5088,6513
"ENSMUSG00000036632",0,0,0,0,0,0
"ENSMUSG00000036634",23,40,8,30,10,0
"ENSMUSG00000036636",395,56,116,58,119,278
"ENSMUSG00000036639",79,96,77,78,90,69
"ENSMUSG00000036641",7,8,0,8,0,8
"ENSMUSG00000036644",2275,2256,2119,1852,1745,1929
"ENSMUSG00000036646",2163,2004,2848,2012,1952,2675
"ENSMUSG00000036647",206,239,51,90,54,86
"ENSMUSG00000036655",58,83,96,72,62,74
"ENSMUSG00000036658",21,19,26,3,17,31
"ENSMUSG00000036661",210,215,266,246,192,191
"ENSMUSG00000036667",129,146,250,284,267,275
"ENSMUSG00000036672",155,134,281,304,280,312
"ENSMUSG00000036676",0,0,2,0,0,0
"ENSMUSG00000036678",232,316,232,319,354,279
"ENSMUSG00000036686",1103,1056,1394,956,968,1118
"ENSMUSG00000036687",1448,1583,1006,920,835,893
"ENSMUSG00000036693",619,650,595,575,421,439
"ENSMUSG00000036698",318,413,156,218,183,115
"ENSMUSG00000036699",1,0,0,0,0,0
"ENSMUSG00000036707",734,1009,412,444,443,466
"ENSMUSG00000036712",0,1,0,0,0,0
"ENSMUSG00000036718",70,131,97,132,49,89
"ENSMUSG00000036721",2,3,0,0,0,0
"ENSMUSG00000036731",0,0,0,0,0,4
"ENSMUSG00000036733",0,0,0,2,0,0
"ENSMUSG00000036737",726,1007,1432,1082,1097,1082
"ENSMUSG00000036743",191,269,99,225,129,63
"ENSMUSG00000036744",2300,1581,666,423,589,941
"ENSMUSG00000036745",21,22,12,38,13,24
"ENSMUSG00000036748",6,9,13,2,17,7
"ENSMUSG00000036749",0,0,0,0,0,0
"ENSMUSG00000036751",52,20,30,12,28,20
"ENSMUSG00000036752",5,0,5,0,0,0
"ENSMUSG00000036760",0,0,0,1,0,0
"ENSMUSG00000036764",1384,1455,1148,1031,910,955
"ENSMUSG00000036766",16,17,0,21,10,1
"ENSMUSG00000036768",353,324,237,149,240,133
"ENSMUSG00000036769",7,11,0,9,0,7
"ENSMUSG00000036770",0,0,0,0,0,6
"ENSMUSG00000036775",0,1,0,0,2,12
"ENSMUSG00000036777",264,254,121,186,182,203
"ENSMUSG00000036779",0,0,0,0,0,0
"ENSMUSG00000036781",395,498,194,474,261,164
"ENSMUSG00000036782",1,5,0,1,1,0
"ENSMUSG00000036790",0,0,0,0,0,0
"ENSMUSG00000036792",1394,1836,806,985,787,812
"ENSMUSG00000036800",0,0,0,0,1,0
"ENSMUSG00000036805",1130,1434,843,769,667,685
"ENSMUSG00000036810",0,0,0,0,0,0
"ENSMUSG00000036813",1000,985,1040,697,594,645
"ENSMUSG00000036814",289,270,107,112,110,114
